Word,ExpectedRate
better,2.691079546
better,2.903089622
bewildered,2.395027961
bewitching,3
beyond a doubt,5
beyond measure,1.756013692
biannual,5
biblical,4
big,2.958113671
bigger,3.156772324
bigheaded,4
bilateral,3
bilingual,4.008921972
billiard,4
bimonthly,4
binding,1.517714218
biodegradable,5
biting,5
bitter,2.33343344
bitterly,1.77122537
bittersweet,4
bitty,3.403733121
biweekly,4
bizarre,2.31235039
black and white,3.141343248
black-and-white,3.674620964
black-haired,4
black-tie,4
black,3.226150796
blanched,2.730204884
bland,2.024678271
blandly,1.922538596
blank,2.18644981
blankly,1.808376145
blaring,2.792840092
blase,3.212208829
blasphemous,4
blatant,2.782367511
blatantly,2.255421264
bleached,1.499150184
bleak,3.296242296
blended,3.606573071
blessedly,4.585657438
blighted,3.350719146
blind,3.44068769
blindly,3.797608919
blissful,4.937799059
blissfully,4.328422985
blithely,4
blond,3.006022074
blonde,2.82178819
blooded,5
bloodless,5
bloody,3.151231287
blooming,2
blotchy,4
blown-up,3
blowy,5
blue-collar,3.27743112
blue,3.016331815
blueish,2.486976142
blunt,1.711010827
bluntly,1.432946449
blurry,2.229538678
blustery,3.547286826
boastful,4
bodied,2.463632044
body and soul,4
bogus,1.536516242
bohemian,4.330510192
boisterous,3.119427596
boisterously,3.12565435
bold,3.479542424
boldly,4.435826928
bolivian,4.485148584
bombastic,2
bona fide,4.171821729
bone dry,2.496220123
bone-dry,2
boneless,3.213295831
boney,2.37337366
bony,2.730204884
bookable,4
booming,2.314913589
boorish,1.727154812
boozy,3.082614258
borderline,2.418237758
bored,2.377506385
boring,2.23900615
boringly,2.667317193
bossy,3.350719146
botanic,4
botanical,3.511014876
botched,2
bothersome,3.477903654
bottom,2.533166903
bottomed,4
bottomless,3.635179023
bouncy,4.485148584
bounteous,4
bountiful,4.401293061
boxed in,2.69392696
boxed,2.13413406
boxy,2.37337366
brackish,4
braided,4.485148584
brain dead,3
braised,3.618521184
branded,3.350719146
brash,3.253363991
bratty,2.646377168
bravely,5
brazilian,2.860177844
breakable,3
breathless,1.956406686
breathtaking,4.318583325
breezily,5
breezy,2.916029698
bridal,3.091697335
brief,3.144543178
briefly,2.75424744
bright blue,5
bright-red,5
bright,2.76762485
brightly,2.869834798
brilliant,4.043345615
brilliantly,4.264738119
briny,3.111402889
brisk,3.088135562
briskly,3.350719146
british,2.931469969
brittle,2.942441826
broad,3.618656464
broadly,3.71381068
broiled,3.211944461
broken in,3.169280601
broken,2.481735326
brooding,3
brown-haired,3
brown,2.472467597
browned,3.504446935
brownish,3.674620964
brusk,3.212649741
brusque,2.248363759
brusquely,3.177676359
brutal,2.047448238
brutally,1.936585476
bubbly,3.851544793
bucolic,3.644466467
buddy-buddy,2.955961795
budgetary,4.320261498
bugged,3
buggy,1.927544929
built-in,2.148137006
built-up,3
bulgarian,4.738693521
bulky,2.013254243
bulletproof,4
bullish,4
bullying,3
bumpy,3.125519392
buoyant,5
burdensome,2
burlesque,2.637880909
burly,3.674620964
burmese,4
burned,2.073708042
burnt,1.826140936
bush-league,2
bush,1
busily,2.054884447
businesslike,3.506721462
bustling,3.606589389
busy,2.902735608
but then,2.662351886
buttery,2.79714984
buttoned-up,4
by a long shot,3.13608227
by all means,3.08277117
by and large,3.258946438
by any means,2.734200706
by chance,3.227321695
by choice,2.447884566
by design,2.057368166
by far,3.444043684
by hand,2.78532215
by heart,4.021589451
by luck,2.519365394
by machine,3
by memory,3.350719146
by nature,3.212649741
by no means,3.003658107
by the day,4.653333396
by the piece,2
by the way,2.503951664
by word of mouth,4.790322626
bygone,3.483007433
byzantine,5
cacophonous,1.884498692
calculated,2.37337366
californian,4.485148584
callous,1.247261155
calm,3.888954353
calmly,2.384609673
caloric,3.531575309
cambodian,3.943614073
campy,3.313273093
can-do,2.955961795
