,Unnamed: 0,Word,Tag,Score,avg
672,41542,asshole,n,0.31712,0.31712
673,41560,assimilation,n,-0.31712,-0.31712
674,41562,assimilator,n,-0.31712,-0.31712
675,41564,assist,n,10.43952077,5.719760385
676,41565,assist,v,1.0,5.719760385
677,41566,assistance,n,12.32742492,12.32742492
678,41568,assistant,n,3.97664,3.97664
679,41580,associate,n,3.752728064,4.41804672
680,41581,associate,v,5.083365376,4.41804672
681,41582,associate_degree,n,-0.673997517,-0.673997517
682,41586,association,n,3.97664,3.97664
683,41600,assort,v,-1.173321011,-1.173321011
684,41604,assuage,v,-1.148622438,-1.148622438
685,41605,assuagement,n,-0.31712,-0.31712
686,41613,assurance,n,5.46496,5.46496
687,41614,assure,v,6.95328,6.95328
688,41665,astonishment,n,-0.31712,-0.31712
689,41666,astound,v,2.48832,2.48832
690,41677,astray,r,-2.48832,-2.48832
691,41719,astuteness,n,-0.31712,-0.31712
692,41722,asunder,r,-2.48832,-2.48832
693,41723,asylum,n,-0.63424,-0.63424
694,41727,asymmetry,n,0.31712,0.31712
695,41810,ataraxis,n,-0.31712,-0.31712
696,41928,atomic_number_26,n,0.31712,0.31712
697,41986,atomic_number_79,n,-0.31712,-0.31712
698,42034,atone,v,-0.31712,-0.31712
699,42035,atonement,n,-0.31712,-0.31712
700,42079,atrophy,v,-2.48832,-2.48832
701,42087,attachment,n,5.46496,5.46496
702,42088,attack,n,-1.0,-3.97664
703,42089,attack,v,-6.95328,-3.97664
704,42090,attack_aircraft,n,0.31712,0.31712
705,42096,attain,v,9.92992,9.92992
706,42102,attainment,n,5.46496,5.46496
707,42103,attaint,v,0.31712,0.31712
708,42112,attend_to,v,-0.31712,-0.31712
709,42113,attendance,n,2.330637312,2.330637312
710,42120,attending,n,-0.499323494,-0.499323494
711,42129,attentiveness,n,-0.31712,-0.31712
712,42160,attract,v,2.48832,2.48832
713,42162,attracter,n,-0.624897817,-0.624897817
714,42163,attraction,n,4.640168665,4.640168665
715,42165,attractive_feature,n,-0.401560284,-0.401560284
716,42166,attractive_force,n,-0.767161829,-0.767161829
717,42169,attractiveness,n,6.123507878,6.123507878
718,42170,attractor,n,-0.227361469,-0.227361469
719,42202,auction_block,n,0.31712,0.31712
720,42213,audaciousness,n,0.416102912,0.416102912
721,42214,audacity,n,-2.24741673,-2.24741673
722,42244,audit,v,0.31712,0.31712
723,42280,augment,v,2.48832,2.48832
724,42281,augmentation,n,2.48832,2.48832
725,42295,aura,n,-0.375532032,-0.375532032
726,42299,aureole,n,-0.014197146,-0.014197146
727,42332,auspices,n,-0.31712,-0.31712
728,42342,austereness,n,0.31712,0.31712
729,42363,authenticity,n,3.97664,3.97664
730,42370,authorisation,n,-1.963126247,-1.963126247
731,42371,authorise,v,-0.31712,-0.31712
732,42378,authoritarianism,n,0.31712,0.31712
733,42381,authorities,n,-1.039624004,-1.039624004
734,42382,authority,n,6.778542264,6.778542264
735,42384,authorization,n,-0.666593309,-0.666593309
736,42428,autocrat,n,-2.48832,-2.48832
737,42590,avail,n,-0.31712,-0.31712
738,42592,availability,n,2.330637312,2.330637312
739,42594,availableness,n,-0.499323494,-0.499323494
740,42601,avarice,n,-2.189033472,-2.189033472
741,42604,avariciousness,n,0.50430935,0.50430935
742,42605,avaritia,n,0.50430935,0.50430935
743,42610,avenge,v,0.31712,0.31712
744,42617,aver,v,-0.25465344,-0.25465344
745,42624,averment,n,-0.31712,-0.31712
746,42626,aversion,n,-3.752728064,-3.752728064
747,42631,avert,v,-5.719760384,-5.719760384
748,42634,averting,n,0.673997517,0.673997517
749,42646,avidity,n,-0.375532032,-0.375532032
750,42648,avidness,n,-0.014197146,-0.014197146
751,42665,avoid,v,-6.663712461,-6.663712461
752,42667,avoidance,n,-2.48832,-2.48832
753,42671,avouch,v,-0.25465344,-0.25465344
754,42672,avouchment,n,-0.31712,-0.31712
755,42673,avow,v,-0.315556864,-0.315556864
756,42676,avowedly,r,-0.31712,-0.31712
757,42688,award,n,-0.697253376,0.895533312
758,42689,award,v,2.48832,0.895533312
759,42691,awarding,n,0.654661939,0.654661939
760,42693,awareness,n,3.97664,3.97664
761,42718,awkwardness,n,-2.48832,-2.48832
762,42732,awry,a,0.31712,0.31712
763,42735,ax,v,-2.330637312,-2.330637312
764,42739,axe,v,0.499323494,0.499323494
765,42838,babble,v,-2.330637312,-2.330637312
766,42839,babble_out,v,0.499323494,0.499323494
767,42931,back,n,7.0979456,7.0979456
768,42941,back_away,v,0.375532032,0.375532032
769,42949,back_down,v,0.159505531,0.159505531
770,42956,back_off,v,0.039698121,0.039698121
771,42957,back_out,v,0.014197146,0.014197146
772,42965,back_up,v,0.183756653,0.183756653
773,42973,backbiter,n,0.31712,0.31712
774,42976,backbone,n,7.57318912,7.57318912
775,42986,backer,n,3.97664,3.97664
776,42989,backfire,v,0.375532032,0.375532032
777,43013,backing,n,6.95328,6.95328
778,43015,backlash,v,0.014197146,0.014197146
779,43028,backrest,n,-1.08220672,-1.08220672
780,43037,backside,n,0.31712,0.31712
781,43042,backsliding,n,0.31712,0.31712
782,43068,backup,n,-1.537620992,-1.537620992
783,43070,backup_man,n,1.076906086,1.076906086
784,43072,backward,a,-3.97664,-3.97664
785,43075,backwardness,n,-2.48832,-2.48832
786,43128,bad,n,0.28622848,-3.334893312
787,43129,bad,r,-6.956015104,-3.334893312
788,43133,bad_blood,n,0.31712,0.31712
789,43141,bad_luck,n,0.63424,0.63424
790,43147,baddie,n,0.31712,0.31712
791,43151,badger,v,0.63424,0.63424
792,43158,badly,r,-10.14721812,-10.14721812
793,43165,badness,n,0.464835584,0.464835584
794,43168,baffle,v,-12.90656,-12.90656
795,43172,bafflement,n,-5.46496,-5.46496
796,43201,bail,v,-2.48832,-2.48832
797,43216,bait,v,-6.95328,-6.95328
798,43253,balance,n,-0.232417792,-0.232417792
799,43262,balance_wheel,n,0.218220646,0.218220646
800,43267,balancing,n,-0.31712,-0.31712
801,43304,balefulness,n,0.31712,0.31712
802,43307,balk,n,1.26848,-0.531078656
803,43308,balk,v,-2.330637312,-0.531078656
804,43314,ball,n,2.48832,2.48832
805,43327,ball_club,n,0.31712,0.31712
806,43338,ball_over,v,0.63424,0.63424
807,43339,ball_up,v,1.5856,1.5856
808,43374,ballock,n,-0.31712,-0.31712
809,43410,balminess,n,-0.31712,-0.31712
810,43436,bam,n,0.31712,0.31712
811,43445,ban,v,1.87323904,1.87323904
812,43447,banality,n,0.31712,0.31712
813,43496,bandit,n,-2.48832,-2.48832
814,43518,bane,n,-3.97664,-3.97664
815,43522,bang,n,1.26848,0.938214912
816,43524,bang,v,0.607949824,0.938214912
817,43527,bang_up,v,0.31712,0.31712
818,43532,bangle,n,-0.31712,-0.31712
819,43536,banish,v,-9.094592614,-9.094592614
820,43537,banishment,n,-2.48832,-2.48832
821,43579,banker's_acceptance,n,-0.31712,-0.31712
822,43594,bankrupt,v,0.95136,0.95136
823,43595,bankruptcy,n,-3.97664,-3.97664
824,43609,banquet,v,-0.31712,-0.31712
825,43631,baptise,v,-0.416102912,-0.416102912
826,43633,baptism,n,2.48832,2.48832
827,43639,baptize,v,2.24741673,2.24741673
828,43642,bar,v,-11.0203724,-11.0203724
829,43669,barbarian,a,0.375532032,-1.056393984
830,43670,barbarian,n,-2.48832,-1.056393984
831,43671,barbaric,a,0.014197146,0.014197146
832,43674,barbarism,n,0.364775936,0.364775936
833,43675,barbarity,n,-0.026569318,-0.026569318
834,43680,barbarousness,n,-0.05187326,-0.05187326
835,43749,barely,r,-0.31712,-0.31712
836,43750,bareness,n,0.31712,0.31712
837,43751,barf,n,0.31712,0.31712
838,43754,bargain,v,2.48832,2.48832
839,43858,barrage,n,0.375532032,0.346326016
840,43859,barrage,v,0.31712,0.346326016
841,43861,barrage_fire,n,0.014197146,0.014197146
842,43887,barren,n,0.31712,0.31712
843,43894,barricade,v,1.672317198,1.672317198
844,43896,barricado,v,-0.675835876,-0.675835876
845,43897,barrier,n,-2.48832,-2.48832
846,43947,base_hit,n,-0.31712,-0.31712
847,43950,base_on_balls,n,0.31712,0.31712
848,43959,baseball_club,n,0.31712,0.31712
849,43978,baseless,a,0.31712,0.31712
850,43984,bash,n,0.63424,0.63424
851,43989,basic,a,2.48832,1.0856
852,43990,basic,n,-0.31712,1.0856
853,43998,basic_principle,n,-0.058412032,-0.058412032
854,44002,basics,n,-0.014197146,-0.014197146
855,44036,bask,v,-0.95136,-0.95136
856,44107,bastard,n,-2.48832,-2.48832
857,44215,battalion,n,-0.31712,-0.31712
858,44228,battery,n,0.31712,0.31712
859,44240,battle,n,-6.95328,-5.46496
860,44241,battle,v,-3.97664,-5.46496
861,44319,battlefield,n,-2.330637312,-2.330637312
862,44320,battlefront,n,0.31712,0.31712
863,44322,battleground,n,0.499323494,0.499323494
864,44325,battler,n,0.31712,0.31712
865,44329,battue,n,0.31712,0.31712
866,44333,bauble,n,-0.31712,-0.31712
867,44336,baulk,n,1.26848,0.883901747
868,44337,baulk,v,0.499323494,0.883901747
869,44351,bawl_out,v,0.95136,0.95136
870,44379,bazaar,n,-0.232417792,-0.232417792
871,44380,bazar,n,0.218220646,0.218220646
872,44388,be_adrift,v,0.31712,0.31712
873,44391,be_amiss,v,0.31712,0.31712
874,44397,be_intimate,v,-0.204023501,-0.204023501
875,44399,be_on_cloud_nine,v,-0.31712,-0.31712
876,44433,beacon,n,2.189033472,2.189033472
877,44435,beacon_fire,n,-0.50430935,-0.50430935
878,44436,beacon_light,n,-0.50430935,-0.50430935
879,44456,beak,v,0.31712,0.31712
880,44471,beaming,a,-0.232417792,-0.232417792
881,44473,beamy,a,0.218220646,0.218220646
882,44512,bear_down,v,0.232417792,0.232417792
883,44513,bear_down_on,v,-0.218220646,-0.218220646
884,44517,bear_in_mind,v,0.31712,0.31712
885,44521,bear_on,v,0.232417792,0.232417792
886,44522,bear_out,v,-0.31712,-0.31712
887,44525,bear_upon,v,-0.218220646,-0.218220646
888,44558,beast,n,0.31712,0.31712
889,44562,beastly,r,-2.48832,-2.48832
890,44564,beat,n,-2.48832,-6.37558451
891,44565,beat,v,-10.26284902,-6.37558451
892,44570,beat_back,v,0.63424,0.63424
893,44574,beat_out,v,1.847114957,1.847114957
894,44575,beat_up,v,1.529994957,1.529994957
895,44583,beatify,v,-0.31712,-0.31712
896,44587,beatnik,n,0.31712,0.31712
897,44588,beatniks,n,0.072609178,0.072609178
898,44589,beats,n,-0.058736722,-0.058736722
899,44593,beau_ideal,n,-0.63424,-0.63424
900,44596,beaut,n,-0.507556352,-0.507556352
901,44598,beauteousness,n,-0.63424,-0.63424
902,44603,beautify,v,6.95328,6.95328
903,44604,beauty,n,3.669507482,3.669507482
904,44624,becalm,v,-0.31712,-0.31712
905,44629,becharm,v,-0.375532032,-0.375532032
906,44649,bed_clothing,n,0.191430984,0.191430984
907,44662,bedamn,v,0.31712,0.31712
908,44666,bedazzle,v,-0.31712,-0.31712
909,44669,bedclothes,n,0.056621523,0.056621523
910,44673,bedding,n,0.232527648,0.232527648
911,44675,bedding_material,n,0.078362665,0.078362665
912,44679,bedevil,v,1.215899648,1.215899648
913,44692,bedlam,n,0.63424,0.63424
914,44764,beef_up,v,-0.31712,-0.31712
915,44810,beetle_off,v,0.31712,0.31712
916,44815,befit,v,3.97664,3.97664
917,44827,befoul,v,0.31712,0.31712
918,44829,befoulment,n,0.31712,0.31712
919,44830,befriend,v,2.48832,2.48832
920,44831,befuddle,v,-0.408047002,-0.408047002
921,44833,befuddlement,n,0.95136,0.95136
922,44834,beg,v,-3.97664,-3.97664
923,44836,beget,v,-0.31712,-0.31712
924,44838,beggar,n,-2.48832,-2.48832
925,44860,beginning,n,-0.63424,-0.63424
926,44867,begrudge,v,0.31712,0.31712
927,44868,beguile,v,-0.014197146,-0.014197146
928,44870,beguilement,n,0.31712,0.31712
929,44871,beguiler,n,0.31712,0.31712
930,44875,behalf,n,2.48832,2.48832
931,44896,behemoth,n,0.31712,0.31712
932,44899,behind,n,0.31712,0.31712
933,44929,beldam,n,0.375532032,0.375532032
934,44930,beldame,n,0.014197146,0.014197146
935,44931,beleaguer,v,0.95136,0.95136
936,44932,beleaguering,n,0.31712,0.31712
937,44936,belie,v,-6.95328,-6.95328
938,44938,believability,n,-0.31712,-0.31712
939,44947,belittle,v,-2.48832,-2.48832
940,45008,belligerence,n,0.232417792,0.232417792
941,45009,belligerency,n,-0.218220646,-0.218220646
942,45011,belligerent,n,0.31712,0.31712
943,45037,belly_laugh,n,0.31712,0.31712
944,45061,belt,v,-2.330637312,-2.330637312
945,45069,belt_down,v,0.31712,0.31712
946,45071,belt_out,v,0.499323494,0.499323494
947,45084,bema,n,-0.31712,-0.31712
948,45086,bemoan,v,0.63424,0.63424
949,45087,bemock,v,0.31712,0.31712
950,45088,bemuse,v,0.31712,0.31712
951,45090,bemusement,n,0.95136,0.95136
952,45114,bends,n,0.31712,0.31712
953,45124,benefaction,n,-0.416102912,-0.416102912
954,45125,benefactive_role,n,-0.416102912,-0.416102912
955,45126,benefactor,n,2.48832,2.48832
956,45137,beneficiary,n,2.24741673,2.24741673
957,45140,benefit,n,2.48832,3.97664
958,45141,benefit,v,5.46496,3.97664
959,45145,benevolence,n,2.24741673,2.24741673
960,45155,benignancy,n,-0.14311424,-0.14311424
961,45158,benignity,n,-0.232417792,-0.232417792
962,45211,bequeath,v,2.48832,2.48832
963,45216,bereave,v,-2.48832,-2.48832
964,45220,bereavement,n,-2.48832,-2.48832
965,45249,beseech,v,-2.48832,-2.48832
966,45252,beseem,v,-0.63424,-0.63424
967,45253,beset,v,1.26848,1.26848
968,45254,beshrew,v,0.31712,0.31712
