Word,ExpectedRate,avg
auditory,4.194875882,4.194875882
augmented,4,4
august,3.179929951,3.179929951
aural,4.557034656,4.557034656
aurally,2,2
auric,5,5
auspicious,3.008848699,3.008848699
auspiciously,3,3
austere,3.656885437,3.656885437
australian,3.41610118,3.41610118
austrian,5,5
authentic,3.348615803,3.348615803
authentically,3.39479681,3.39479681
authorial,3.483237559,3.483237559
authoritarian,3.171145195,3.171145195
authoritative,3.473838579,3.473838579
authoritatively,1.548627029,1.548627029
authorized,1.443325191,1.443325191
autistic,2.628009776,2.628009776
autobiographic,5,5
autobiographical,3.326679835,3.326679835
autocratic,2.084049973,2.084049973
autographed,3.640956031,3.640956031
autoimmune,4.311968328,4.311968328
automated,2.776419493,2.776419493
automatic,3.202719153,3.202719153
automatically,3.014888156,3.014888156
automotive,3.011157899,3.011157899
autonomic,5,5
autonomous,4,4
autumnal,4.386034674,4.386034674
auxiliary,3,3
available,3.191351692,3.191351692
avant-garde,2.554986914,2.554986914
avaricious,3.541234481,3.541234481
average,3.110462649,3.110462649
averse,4,4
avian,2.977037542,2.977037542
avid,3.609296951,3.609296951
avidly,2.78762281,2.78762281
avoidable,2.973043885,2.973043885
avowed,4,4
awake,2.526835209,2.526835209
award-winning,4.715507074,4.715507074
aware,3.178320188,3.178320188
awash,4.041827698,4.041827698
away,3.295915461,3.295915461
awe-inspiring,3.584596894,3.584596894
awed,3.99178569,3.99178569
awesome,4.001121975,4.001121975
awestruck,2.192360934,2.192360934
awful,2.105952557,2.105952557
awfully,2.358240762,2.358240762
awhile,3.133746482,3.133746482
awkward,2.735316584,2.735316584
awkwardly,2.493829284,2.493829284
awry,2.459234459,3.301457104
axillary,1,1
axiomatic,3.312963962,3.312963962
axiomatically,5,5
babyish,5,5
babylonian,3.365025084,3.365025084
back and forth,2.974655014,2.974655014
back-channel,4,4
back-to-back,4.32129509,4.32129509
back,3.343431436,3.167043883
backed,1.697155506,1.697155506
backhanded,5,5
backless,5,5
backstage,4.248203656,4.248203656
backward and forward,3,3
backward,3.133765598,3.133765598
backwards,3.47578211,3.47578211
bacterial,4.386034674,4.386034674
bad,2.428296974,2.635768962
badly,2.164225919,2.164225919
baffled,3,3
baffling,5,5
baggy,1.697155506,1.697155506
baked,3.880473037,3.880473037
baking hot,2.554986914,2.554986914
balanced,3.072097298,3.072097298
bald,2.897826254,2.897826254
baldly,5,5
ballistic,1.753996714,1.753996714
balmy,1,1
balsamic,2.533532505,2.533532505
banal,1.968440715,1.968440715
bankable,2.554986914,2.554986914
bankrupt,2.188356638,2.188356638
baptismal,5,5
barbaric,3.507440155,3.507440155
barbarous,4,4
barbed,3.541234481,3.541234481
bare-knuckled,4,4
bare,2.588340846,2.588340846
barefooted,1,1
barelegged,4,4
barely,2.438712841,2.438712841
baroque,2,2
barren,3.421980282,3.421980282
barricaded,3,3
base,1.876059406,1.876059406
baseless,1.262936432,1.262936432
bashful,5,5
basic,3.105793772,3.105793772
basically,2.482686065,2.482686065
bated,3.395057717,3.395057717
battered,3.718717074,3.718717074
bayesian,4.173270507,4.173270507
bearable,2.35839486,2.35839486
bearish,3.139011076,3.139011076
beastly,4,4
beat-up,5,5
beat,3.738239262,3.738239262
beatable,1.697155506,1.697155506
beaten,3.609563812,3.609563812
beautiful,3.781913431,3.781913431
beautifully,4.135992935,4.135992935
becomingly,5,5
bedded,3.326099916,3.326099916
bedridden,5,5
beefed-up,5,5
beefy,2.248271858,2.248271858
befitting,3.326799556,3.326799556
before christ,3.716359081,3.716359081
before long,3.688949994,3.688949994
before,2.81939835,2.81939835
beforehand,2.972949679,2.972949679
begotten,4.053508381,4.053508381
behavioral,3.248871315,3.248871315
behavioural,3.098542992,3.098542992
behind-the-scenes,3.051771844,3.051771844
behind,4.132110745,4.132110745
beholden,2.801680723,2.801680723
beige,3.188538427,3.188538427
belated,3.853323879,3.853323879
belatedly,1.697155506,1.697155506
belgian,3.488800906,3.488800906
believable,2.868609484,2.868609484
believably,2.155507362,2.155507362
bell-bottomed,3,3
bellicose,1.753996714,1.753996714
belligerent,2.918209068,2.918209068
beloved,3.710970006,3.710970006
below the belt,5,5
below,3.640956031,3.640956031
bemused,3.805478028,3.805478028
benedictine,5,5
benefic,5,5
beneficial,3.588558704,3.588558704
benevolent,2.721202155,2.721202155
benighted,3.541234481,3.541234481
benign,3.551747924,3.551747924
benignly,4,4
bent on,2.361515166,2.361515166
bent,2.527454671,2.527454671
bereft,2.21675956,2.21675956
best of all,4.309911091,4.309911091
best-known,5,5
best-selling,2.994902724,2.994902724
best,3.691168242,3.493839255
bestial,1.697155506,1.697155506
beta,1.313433039,1.313433039
better off,2.357284561,2.357284561
better-known,4.557034656,4.557034656
better,3.00874129,3.03344832
bewildered,2.455161546,2.455161546
bewilderingly,5,5
beyond a doubt,5,5
beyond a shadow of a doubt,3,3
beyond measure,4.485367641,4.485367641
beyond,1,1
biblical,2.694416061,2.694416061
bibliographic,4.386034674,4.386034674
bibliographical,4.386034674,4.386034674
bicameral,5,5
big-ticket,5,5
big,3.307257806,3.307257806
bigger,3.382186827,3.382186827
biggish,3,3
bigoted,2.583542611,2.583542611
bilateral,5,5
bilingual,2.797946792,2.797946792
bilious,2.323205318,2.323205318
binary,2.323205318,2.323205318
binding,3.966666504,3.966666504
biochemical,4.456031566,4.456031566
biodegradable,4.173270507,4.173270507
biographic,5,5
biographical,3.299977081,3.299977081
biologic,5,5
biological,3.067123011,3.067123011
biologically,4.557034656,4.557034656
biomedical,5,5
bipartisan,3.851923716,3.851923716
bipolar,2.975158071,2.975158071
biracial,5,5
bisexual,2,2
bit by bit,4.653531998,4.653531998
bitchy,1.876059406,1.876059406
biting,5,5
bitingly,5,5
bitter,2.550644208,2.550644208
bitterly,2.33974938,2.33974938
bittersweet,4.386034674,4.386034674
bitty,4.653531998,4.653531998
bituminous,2.554986914,2.554986914
biweekly,4,4
bizarre,2.486946616,2.486946616
black and white,3.264538586,3.264538586
black-and-white,3.475841629,3.475841629
