,Unnamed: 0,Word,Rating,Category,Count,Total,Corpus,RelativeFrequency,Probabilities,ExpectedRate
151,151,30th/a,2,-0.25,28,2507147,OpenTable,1.12e-05,0.153471148,3.57210338
152,152,30th/a,3,0.0,38,4207700,OpenTable,9.03e-06,0.124104445,3.57210338
153,153,30th/a,4,0.25,96,7789649,OpenTable,1.23e-05,0.169356494,3.57210338
154,154,30th/a,5,0.5,250,8266564,OpenTable,3.02e-05,0.415588465,3.57210338
155,155,31st/a,1,-0.5,1,699695,OpenTable,1.43e-06,0.492308846,2.898101628
156,156,31st/a,2,-0.25,0,2507147,OpenTable,0.0,0.0,2.898101628
157,157,31st/a,3,0.0,0,4207700,OpenTable,0.0,0.0,2.898101628
158,158,31st/a,4,0.25,3,7789649,OpenTable,3.85e-07,0.132662988,2.898101628
159,159,31st/a,5,0.5,9,8266564,OpenTable,1.09e-06,0.375028166,2.898101628
160,160,32nd/a,1,-0.5,0,699695,OpenTable,0.0,0.0,4.34287069
161,161,32nd/a,2,-0.25,1,2507147,OpenTable,3.99e-07,0.098508109,4.34287069
162,162,32nd/a,3,0.0,2,4207700,OpenTable,4.75e-07,0.117391596,4.34287069
163,163,32nd/a,4,0.25,4,7789649,OpenTable,5.14e-07,0.126821791,4.34287069
164,164,32nd/a,5,0.5,22,8266564,OpenTable,2.66e-06,0.657278504,4.34287069
165,165,33rd/a,1,-0.5,0,699695,OpenTable,0.0,0.0,4.220351529
166,166,33rd/a,2,-0.25,0,2507147,OpenTable,0.0,0.0,4.220351529
167,167,33rd/a,3,0.0,4,4207700,OpenTable,9.51e-07,0.24247532,4.220351529
168,168,33rd/a,4,0.25,9,7789649,OpenTable,1.16e-06,0.294697831,4.220351529
169,169,33rd/a,5,0.5,15,8266564,OpenTable,1.81e-06,0.462826849,4.220351529
170,170,34th/a,1,-0.5,0,699695,OpenTable,0.0,0.0,3.532322358
171,171,34th/a,2,-0.25,6,2507147,OpenTable,2.39e-06,0.410640888,3.532322358
172,172,34th/a,3,0.0,1,4207700,OpenTable,2.38e-07,0.040779883,3.532322358
173,173,34th/a,4,0.25,7,7789649,OpenTable,8.99e-07,0.154195212,3.532322358
174,174,34th/a,5,0.5,19,8266564,OpenTable,2.3e-06,0.394384017,3.532322358
175,175,35th/a,1,-0.5,2,699695,OpenTable,2.86e-06,0.153356199,3.547214554
176,176,35th/a,2,-0.25,7,2507147,OpenTable,2.79e-06,0.149795357,3.547214554
177,177,35th/a,3,0.0,8,4207700,OpenTable,1.9e-06,0.102005909,3.547214554
178,178,35th/a,4,0.25,27,7789649,OpenTable,3.47e-06,0.185962761,3.547214554
179,179,35th/a,5,0.5,63,8266564,OpenTable,7.62e-06,0.408879774,3.547214554
180,180,36th/a,1,-0.5,1,699695,OpenTable,1.43e-06,0.21955577,3.628280729
181,181,36th/a,2,-0.25,1,2507147,OpenTable,3.99e-07,0.061273661,3.628280729
182,182,36th/a,3,0.0,1,4207700,OpenTable,2.38e-07,0.03650975,3.628280729
183,183,36th/a,4,0.25,12,7789649,OpenTable,1.54e-06,0.236655708,3.628280729
184,184,36th/a,5,0.5,24,8266564,OpenTable,2.9e-06,0.446005111,3.628280729
185,185,37th/a,1,-0.5,1,699695,OpenTable,1.43e-06,0.166540384,3.668866854
186,186,37th/a,2,-0.25,2,2507147,OpenTable,7.98e-07,0.092956236,3.668866854
187,187,37th/a,3,0.0,4,4207700,OpenTable,9.51e-07,0.110775458,3.668866854
188,188,37th/a,4,0.25,11,7789649,OpenTable,1.41e-06,0.164551986,3.668866854
189,189,37th/a,5,0.5,33,8266564,OpenTable,3.99e-06,0.465175936,3.668866854
190,190,38th/a,1,-0.5,0,699695,OpenTable,0.0,0.0,4.605173189
191,191,38th/a,2,-0.25,0,2507147,OpenTable,0.0,0.0,4.605173189
192,192,38th/a,3,0.0,1,4207700,OpenTable,2.38e-07,0.062459509,4.605173189
193,193,38th/a,4,0.25,8,7789649,OpenTable,1.03e-06,0.269907798,4.605173189
194,194,38th/a,5,0.5,21,8266564,OpenTable,2.54e-06,0.667632694,4.605173189
195,195,39th/a,1,-0.5,0,699695,OpenTable,0.0,0.0,4.295557182
196,196,39th/a,2,-0.25,2,2507147,OpenTable,7.98e-07,0.13127756,4.295557182
197,197,39th/a,3,0.0,1,4207700,OpenTable,2.38e-07,0.039110695,4.295557182
198,198,39th/a,4,0.25,11,7789649,OpenTable,1.41e-06,0.232388748,4.295557182
199,199,39th/a,5,0.5,30,8266564,OpenTable,3.63e-06,0.597222997,4.295557182
200,200,3rd/a,1,-0.5,23,699695,OpenTable,3.29e-05,0.255609031,2.792256722
201,201,3rd/a,2,-0.25,74,2507147,OpenTable,2.95e-05,0.22951393,2.792256722
202,202,3rd/a,3,0.0,92,4207700,OpenTable,2.19e-05,0.170020069,2.792256722
203,203,3rd/a,4,0.25,157,7789649,OpenTable,2.02e-05,0.156725221,2.792256722
204,204,3rd/a,5,0.5,200,8266564,OpenTable,2.42e-05,0.188131748,2.792256722
205,205,40th/a,1,-0.5,7,699695,OpenTable,1e-05,0.136732411,3.715319931
206,206,40th/a,2,-0.25,25,2507147,OpenTable,9.97e-06,0.136283228,3.715319931
207,207,40th/a,3,0.0,22,4207700,OpenTable,5.23e-06,0.071459523,3.715319931
