Word,ExpectedRate,avg
artlessly,3,3
arty,4.190661521,4.190661521
as a group,3.202807722,3.202807722
as a matter of fact,2.598815208,2.598815208
as far as possible,2.982145983,2.982145983
as follows,2.014511044,2.014511044
as if by magic,4.585657438,4.585657438
as it is,3.40781407,3.40781407
as it were,3.430459528,3.430459528
as luck would have it,4.158576089,4.158576089
as much as possible,3.605952736,3.605952736
as needed,3.374175628,3.374175628
as required,2.294228145,2.294228145
as such,2.932178295,2.932178295
as usual,3.976552736,3.976552736
as we say,2.783242162,2.783242162
as well,3.516026609,3.516026609
as yet,2.863847909,2.863847909
as,3.308961882,3.308961882
asap,3.334878558,3.334878558
ashamed,1.684405045,1.684405045
ashamedly,5,5
ashore,4.485148584,4.485148584
ashy,4,4
asian,3.175665436,3.175665436
asiatic,4.007038069,4.007038069
aside,2.720891998,2.720891998
asinine,2,2
askew,2,3
asleep,1.639490107,1.863942732
aspiring,4.653333396,4.653333396
assaultive,3,3
assertive,3.605185664,3.605185664
assertively,2.967776365,2.967776365
assiduous,3.350719146,3.350719146
assigned,5,5
assistant,2.449949877,2.449949877
assistive,4,4
associate,2.071329839,2.071329839
associational,5,5
assorted,3.350453133,3.350453133
assumed,2.486976142,2.486976142
assuredly,4.14090896,4.14090896
asthmatic,2.783242162,2.783242162
astonished,5,5
astonishing,4.064323486,4.064323486
astonishingly,2.299636794,2.299636794
astounded,2.540531802,2.540531802
astounding,3.888469771,3.888469771
astray,3.548221086,3.548221086
astringent,3.025214524,3.025214524
astronomic,2,2
astronomical,1.767065902,1.767065902
astronomically,2.646377168,2.646377168
astute,3.870391402,3.870391402
astutely,4,4
asymmetric,3,3
at a loss,2.133158129,2.133158129
at a low price,2.783242162,2.783242162
at a time,2.380437684,2.380437684
at all costs,1.263443713,1.263443713
at all,2.402856911,2.402856911
at any cost,2,2
at any rate,3.002878962,3.002878962
at bay,3.008595725,3.008595725
at best,1.841175626,1.841175626
at bottom,2.751174936,2.751174936
at close range,4,4
at fault,1.923389936,1.923389936
at first blush,2.955961795,2.955961795
at first glance,3.987497344,3.987497344
at first sight,3.760391657,3.760391657
at hand,2.752166794,2.752166794
at heart,4.421142672,4.421142672
at home,2.979226915,2.979226915
at large,2.906539065,2.906539065
at last,2.749226321,2.749226321
at least,2.522055207,2.522055207
at leisure,3.84275288,3.84275288
at length,2.837554232,2.837554232
at long last,5,5
at most,2.846679664,2.846679664
at odds,3.082614258,3.082614258
at once,2.491393758,2.491393758
at one time,2.485490609,2.485490609
at peace,4.485148584,4.485148584
at present,3.807001647,3.807001647
at random,2.09401361,2.09401361
at rest,3.518365411,3.518365411
at sea,3.631252515,3.631252515
at stake,1.218188174,1.218188174
at that place,4.653333396,4.653333396
at the best,3.489291622,3.489291622
at the least,1.708838067,1.708838067
at the most,2.697718636,2.697718636
at the ready,3.662462429,3.662462429
at the same time,2.772507713,2.772507713
at the worst,2.200262525,2.200262525
at times,3.200493222,3.200493222
at will,3.430107477,3.430107477
at work,3.713699719,3.713699719
at worst,2.456105593,2.456105593
athenian,3,3
athletic,3.141047293,3.141047293
atlantic,3.090001739,3.090001739
atmospheric,3.571093368,3.571093368
atomic,4.485148584,4.485148584
atonal,2,2
atrocious,1.430203569,1.430203569
atrociously,1.423184935,1.423184935
attached,5,5
attempted,2.792840092,2.792840092
attendant,3.209370246,3.209370246
attended,3.735299775,3.735299775
attentional,4,4
attentive,3.822003603,3.822003603
attentively,4.328575234,4.328575234
attic,4.320261498,4.320261498
attired,3.350719146,3.350719146
attitudinal,2.783242162,2.783242162
attractive,3.285184946,3.285184946
attractively,3.688692258,3.688692258
attributable,2.967776365,2.967776365
atypical,3.004804797,3.004804797
atypically,3.199721887,3.199721887
au fait,4,4
au gratin,3.19490923,3.19490923
au jus,2.714194832,2.714194832
au naturel,4.485148584,4.485148584
auburn,4,4
audacious,2.646377168,2.646377168
audible,2.933285855,2.933285855
audibly,1.708233777,1.708233777
augmented,5,5
aural,4,4
auspicious,3.345078902,3.345078902
austere,3.691667136,3.691667136
australian,3.203675826,3.203675826
austrian,4.119805994,4.119805994
authentic,3.598355182,3.598355182
authentically,3.550076852,3.550076852
authoritative,2.486976142,2.486976142
autistic,3.333463112,3.333463112
autographed,4.894523353,4.894523353
automated,2.646377168,2.646377168
automatic,2.095867772,2.095867772
automatically,2.314274371,2.314274371
autonomous,4,4
auxiliary,1.796836686,1.796836686
available,2.684585255,2.684585255
avant-garde,4.113736257,4.113736257
average,2.283395612,2.283395612
averse,2.955961795,2.955961795
avid,2.723000554,2.723000554
avidly,5,5
avocado,3.333463112,3.333463112
avoidable,2.512701318,2.512701318
avowed,4.320261498,4.320261498
avuncular,4,4
awake,2.486976142,2.486976142
award-winning,2.667232341,2.667232341
aware,2.871960269,2.871960269
awash,2.37337366,2.37337366
away,3,2.911410611
awe-inspiring,3.43597006,3.43597006
awed,4.249080864,4.249080864
awesome,4.204692096,4.204692096
awful,1.496655786,1.496655786
awfully,2.278390062,2.278390062
awhile,2.809710696,2.809710696
awkward,2.620985637,2.620985637
awkwardly,2.039534653,2.039534653
awry,1.782694646,1.782694646
back and forth,2.159391583,2.159391583
back-to-back,3.184920765,3.184920765
back,2.865434091,2.934842115
backed,3,3
backhanded,3.760391657,3.760391657
backless,2.018466998,2.018466998
backward,2.360559022,2.360559022
backwards,3.06835552,3.06835552
bad,2.106453997,2.106453997
badly,1.865013915,1.865013915
baffled,3.760391657,3.760391657
baggy,5,5
bahamian,4,4
baked,2.823859717,2.823859717
balanced,3.796321164,3.796321164
bald-headed,2,2
bald,2.016125066,2.016125066
ball-shaped,5,5
