Word,Rating,Category,Count,Total,Corpus
abnormally/r,4,0.25,4,7789649,OpenTable
abnormally/r,5,0.5,0,8266564,OpenTable
abominable/a,1,-0.5,4,699695,OpenTable
abominable/a,2,-0.25,7,2507147,OpenTable
abominable/a,3,0,5,4207700,OpenTable
abominable/a,4,0.25,2,7789649,OpenTable
abominable/a,5,0.5,0,8266564,OpenTable
abominably/r,1,-0.5,0,699695,OpenTable
abominably/r,2,-0.25,0,2507147,OpenTable
abominably/r,3,0,1,4207700,OpenTable
abominably/r,4,0.25,0,7789649,OpenTable
abominably/r,5,0.5,0,8266564,OpenTable
about/a,1,-0.5,0,699695,OpenTable
about/a,2,-0.25,0,2507147,OpenTable
about/a,3,0,0,4207700,OpenTable
about/a,4,0.25,1,7789649,OpenTable
about/a,5,0.5,0,8266564,OpenTable
about/r,1,-0.5,205,699695,OpenTable
about/r,2,-0.25,674,2507147,OpenTable
about/r,3,0,925,4207700,OpenTable
about/r,4,0.25,1159,7789649,OpenTable
about/r,5,0.5,895,8266564,OpenTable
above all/r,1,-0.5,2,699695,OpenTable
above all/r,2,-0.25,4,2507147,OpenTable
above all/r,3,0,6,4207700,OpenTable
above all/r,4,0.25,34,7789649,OpenTable
above all/r,5,0.5,72,8266564,OpenTable
above-mentioned/a,1,-0.5,0,699695,OpenTable
above-mentioned/a,2,-0.25,0,2507147,OpenTable
above-mentioned/a,3,0,1,4207700,OpenTable
above-mentioned/a,4,0.25,1,7789649,OpenTable
above-mentioned/a,5,0.5,1,8266564,OpenTable
above/a,1,-0.5,24,699695,OpenTable
above/a,2,-0.25,127,2507147,OpenTable
above/a,3,0,336,4207700,OpenTable
above/a,4,0.25,472,7789649,OpenTable
above/a,5,0.5,248,8266564,OpenTable
above/r,1,-0.5,2,699695,OpenTable
above/r,2,-0.25,10,2507147,OpenTable
above/r,3,0,21,4207700,OpenTable
above/r,4,0.25,121,7789649,OpenTable
above/r,5,0.5,316,8266564,OpenTable
abrasive/a,1,-0.5,3,699695,OpenTable
abrasive/a,2,-0.25,10,2507147,OpenTable
abrasive/a,3,0,9,4207700,OpenTable
abrasive/a,4,0.25,9,7789649,OpenTable
abrasive/a,5,0.5,1,8266564,OpenTable
abridged/a,1,-0.5,1,699695,OpenTable
abridged/a,2,-0.25,0,2507147,OpenTable
abridged/a,3,0,2,4207700,OpenTable
abridged/a,4,0.25,0,7789649,OpenTable
abridged/a,5,0.5,0,8266564,OpenTable
abroad/r,1,-0.5,1,699695,OpenTable
abroad/r,2,-0.25,1,2507147,OpenTable
abroad/r,3,0,7,4207700,OpenTable
abroad/r,4,0.25,16,7789649,OpenTable
abroad/r,5,0.5,25,8266564,OpenTable
abrupt/a,1,-0.5,12,699695,OpenTable
abrupt/a,2,-0.25,38,2507147,OpenTable
abrupt/a,3,0,59,4207700,OpenTable
abrupt/a,4,0.25,35,7789649,OpenTable
abrupt/a,5,0.5,8,8266564,OpenTable
abruptly/r,1,-0.5,9,699695,OpenTable
abruptly/r,2,-0.25,7,2507147,OpenTable
abruptly/r,3,0,11,4207700,OpenTable
abruptly/r,4,0.25,10,7789649,OpenTable
abruptly/r,5,0.5,2,8266564,OpenTable
absent/a,1,-0.5,21,699695,OpenTable
absent/a,2,-0.25,64,2507147,OpenTable
absent/a,3,0,83,4207700,OpenTable
absent/a,4,0.25,66,7789649,OpenTable
absent/a,5,0.5,20,8266564,OpenTable
absentminded/a,1,-0.5,0,699695,OpenTable
absentminded/a,2,-0.25,0,2507147,OpenTable
absentminded/a,3,0,2,4207700,OpenTable
absentminded/a,4,0.25,1,7789649,OpenTable
absentminded/a,5,0.5,1,8266564,OpenTable
absentmindedly/r,1,-0.5,0,699695,OpenTable
absentmindedly/r,2,-0.25,0,2507147,OpenTable
absentmindedly/r,3,0,0,4207700,OpenTable
absentmindedly/r,4,0.25,1,7789649,OpenTable
absentmindedly/r,5,0.5,0,8266564,OpenTable
absolute/a,1,-0.5,20,699695,OpenTable
absolute/a,2,-0.25,22,2507147,OpenTable
absolute/a,3,0,45,4207700,OpenTable
absolute/a,4,0.25,186,7789649,OpenTable
absolute/a,5,0.5,652,8266564,OpenTable
absolutely/r,1,-0.5,232,699695,OpenTable
absolutely/r,2,-0.25,385,2507147,OpenTable
absolutely/r,3,0,593,4207700,OpenTable
absolutely/r,4,0.25,2571,7789649,OpenTable
absolutely/r,5,0.5,7652,8266564,OpenTable
absorbent/a,1,-0.5,1,699695,OpenTable
absorbent/a,2,-0.25,0,2507147,OpenTable
absorbent/a,3,0,1,4207700,OpenTable
absorbent/a,4,0.25,0,7789649,OpenTable
absorbent/a,5,0.5,0,8266564,OpenTable
absorbing/a,1,-0.5,1,699695,OpenTable
absorbing/a,2,-0.25,1,2507147,OpenTable
absorbing/a,3,0,7,4207700,OpenTable
absorbing/a,4,0.25,17,7789649,OpenTable
absorbing/a,5,0.5,6,8266564,OpenTable
absorptive/a,1,-0.5,0,699695,OpenTable
absorptive/a,2,-0.25,0,2507147,OpenTable
absorptive/a,3,0,1,4207700,OpenTable
absorptive/a,4,0.25,0,7789649,OpenTable
absorptive/a,5,0.5,0,8266564,OpenTable
abstract/a,1,-0.5,0,699695,OpenTable
abstract/a,2,-0.25,1,2507147,OpenTable
abstract/a,3,0,0,4207700,OpenTable
abstract/a,4,0.25,4,7789649,OpenTable
abstract/a,5,0.5,6,8266564,OpenTable
absurd/a,1,-0.5,7,699695,OpenTable
absurd/a,2,-0.25,25,2507147,OpenTable
absurd/a,3,0,30,4207700,OpenTable
absurd/a,4,0.25,32,7789649,OpenTable
absurd/a,5,0.5,3,8266564,OpenTable
absurdly/r,1,-0.5,2,699695,OpenTable
absurdly/r,2,-0.25,3,2507147,OpenTable
absurdly/r,3,0,14,4207700,OpenTable
absurdly/r,4,0.25,6,7789649,OpenTable
absurdly/r,5,0.5,3,8266564,OpenTable
abundant/a,1,-0.5,5,699695,OpenTable
