,Word,Rating,Category,Count,Total,Corpus,RelativeFrequency,Probabilities
177,34th/a,3,0.0,1,6011388,Goodreads,1.66350932597e-07,0.729382759711
178,34th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
179,34th/a,5,0.5,1,16202230,Goodreads,6.17198990509e-08,0.270617240289
180,35th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
181,35th/a,2,-0.25,1,3912625,Goodreads,2.55582888726e-07,0.497604570982
182,35th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
183,35th/a,4,0.25,2,10187257,Goodreads,1.96323701267e-07,0.382230483542
184,35th/a,5,0.5,1,16202230,Goodreads,6.17198990509e-08,0.120164945476
185,36th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
186,36th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
187,36th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
188,36th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
189,36th/a,5,0.5,2,16202230,Goodreads,1.23439798102e-07,1.0
190,38th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
191,38th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
192,38th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
193,38th/a,4,0.25,1,10187257,Goodreads,9.81618506336e-08,1.0
194,38th/a,5,0.5,0,16202230,Goodreads,0.0,0.0
195,39th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
196,39th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
197,39th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
198,39th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
199,39th/a,5,0.5,1,16202230,Goodreads,6.17198990509e-08,1.0
200,3rd/a,1,-0.5,24,3419923,Goodreads,7.01770186054e-06,0.126920593914
201,3rd/a,2,-0.25,40,3912625,Goodreads,1.0223315549e-05,0.184896609608
202,3rd/a,3,0.0,86,6011388,Goodreads,1.43061802033e-05,0.258738391019
203,3rd/a,4,0.25,113,10187257,Goodreads,1.10922891216e-05,0.200612672234
204,3rd/a,5,0.5,205,16202230,Goodreads,1.26525793054e-05,0.228831733224
205,400th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
206,400th/a,2,-0.25,1,3912625,Goodreads,2.55582888726e-07,1.0
207,400th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
208,400th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
209,400th/a,5,0.5,0,16202230,Goodreads,0.0,0.0
210,40th/a,1,-0.5,1,3419923,Goodreads,2.92404244189e-07,0.56887333047
211,40th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
212,40th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
213,40th/a,4,0.25,1,10187257,Goodreads,9.81618506336e-08,0.190974173613
214,40th/a,5,0.5,2,16202230,Goodreads,1.23439798102e-07,0.240152495917
215,44th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
216,44th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
217,44th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
218,44th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
219,44th/a,5,0.5,1,16202230,Goodreads,6.17198990509e-08,1.0
220,45th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
221,45th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
222,45th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
223,45th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
224,45th/a,5,0.5,1,16202230,Goodreads,6.17198990509e-08,1.0
225,46th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
226,46th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
227,46th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
228,46th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
229,46th/a,5,0.5,1,16202230,Goodreads,6.17198990509e-08,1.0
230,47th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
231,47th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
232,47th/a,3,0.0,1,6011388,Goodreads,1.66350932597e-07,1.0
233,47th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
234,47th/a,5,0.5,0,16202230,Goodreads,0.0,0.0
235,49th/a,1,-0.5,1,3419923,Goodreads,2.92404244189e-07,0.533596916106
236,49th/a,2,-0.25,1,3912625,Goodreads,2.55582888726e-07,0.466403083894
237,49th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
238,49th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
239,49th/a,5,0.5,0,16202230,Goodreads,0.0,0.0
240,4th/a,1,-0.5,56,3419923,Goodreads,1.63746376746e-05,0.13040156376
241,4th/a,2,-0.25,88,3912625,Goodreads,2.24912942079e-05,0.179112356192
242,4th/a,3,0.0,181,6011388,Goodreads,3.01095188e-05,0.239781081792
243,4th/a,4,0.25,254,10187257,Goodreads,2.49331100609e-05,0.198558075357
244,4th/a,5,0.5,513,16202230,Goodreads,3.16623082131e-05,0.252146922899
245,500th/a,1,-0.5,3,3419923,Goodreads,8.77212732567e-07,0.840593403019
246,500th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
247,500th/a,3,0.0,1,6011388,Goodreads,1.66350932597e-07,0.159406596981
248,500th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
249,500th/a,5,0.5,0,16202230,Goodreads,0.0,0.0
250,50th/a,1,-0.5,3,3419923,Goodreads,8.77212732567e-07,0.246964631061
251,50th/a,2,-0.25,3,3912625,Goodreads,7.66748666177e-07,0.215865313428
252,50th/a,3,0.0,4,6011388,Goodreads,6.65403730386e-07,0.187333335097
253,50th/a,4,0.25,7,10187257,Goodreads,6.87132954435e-07,0.193450836133
254,50th/a,5,0.5,9,16202230,Goodreads,5.55479091458e-07,0.15638588428
255,5th/a,1,-0.5,24,3419923,Goodreads,7.01770186054e-06,0.192921334921
256,5th/a,2,-0.25,18,3912625,Goodreads,4.60049199706e-06,0.126470613173
257,5th/a,3,0.0,43,6011388,Goodreads,7.15309010165e-06,0.196643248551
258,5th/a,4,0.25,80,10187257,Goodreads,7.85294805069e-06,0.215882813364
259,5th/a,5,0.5,158,16202230,Goodreads,9.75174405005e-06,0.268081989992
260,60th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
261,60th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
262,60th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
263,60th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
264,60th/a,5,0.5,1,16202230,Goodreads,6.17198990509e-08,1.0
265,6th/a,1,-0.5,18,3419923,Goodreads,5.2632763954e-06,0.182696939387
266,6th/a,2,-0.25,18,3912625,Goodreads,4.60049199706e-06,0.159690607978
267,6th/a,3,0.0,42,6011388,Goodreads,6.98673916906e-06,0.242521153477
268,6th/a,4,0.25,47,10187257,Goodreads,4.61360697978e-06,0.160145850497
269,6th/a,5,0.5,119,16202230,Goodreads,7.34466798706e-06,0.254945448661
270,75th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
271,75th/a,2,-0.25,1,3912625,Goodreads,2.55582888726e-07,1.0
272,75th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
273,75th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
274,75th/a,5,0.5,0,16202230,Goodreads,0.0,0.0
275,7th/a,1,-0.5,21,3419923,Goodreads,6.14048912797e-06,0.1558535558
276,7th/a,2,-0.25,42,3912625,Goodreads,1.07344813265e-05,0.272455019386
277,7th/a,3,0.0,49,6011388,Goodreads,8.15119569723e-06,0.206887889052
278,7th/a,4,0.25,76,10187257,Goodreads,7.46030064815e-06,0.189352079145
279,7th/a,5,0.5,112,16202230,Goodreads,6.9126286937e-06,0.175451456616
