Word,ExpectedRate,avg
antebellum,3.139011076,3.139011076
antediluvian,4,4
anterior,1,1
anthropological,2.806467332,2.806467332
anthropomorphic,1.94507783,1.94507783
anti-american,2.697322922,2.697322922
anti-intellectual,2.297067868,2.297067868
anti-semite,2.554986914,2.554986914
anti-semitic,2.537308972,2.537308972
anti,2.690205459,2.690205459
antiauthoritarian,5,5
antibacterial,3,3
anticipated,2.60297773,2.60297773
anticipatory,2.412891756,2.412891756
anticlimactic,2.458563234,2.458563234
anticlimactical,2.583542611,2.583542611
antiquarian,5,5
antiquated,3.160514404,3.160514404
antique,2.162281711,2.162281711
antiseptic,2.196953157,2.196953157
antisocial,3.12600047,3.12600047
antithetical,2.194522402,2.194522402
antitrust,1,1
antsy,3.197100984,3.197100984
anxious,3.407943379,3.407943379
anxiously,3.405739172,3.405739172
any longer,2.323037051,2.323037051
any,1,1.630765099
anyhow,4,4
anymore,2.462000958,2.462000958
anyplace,3.541321843,3.541321843
anyway,2.807104542,2.807104542
anyways,3.759665779,3.759665779
anywhere,2.50110066,2.50110066
apart,3.031795952,3.031795952
apathetic,2.319959765,2.319959765
apathetically,2.554986914,2.554986914
apiece,2.796704393,2.796704393
apocalyptic,3.344338019,3.344338019
apocalyptical,3.258564151,3.258564151
apocryphal,2.373156423,2.373156423
apolitical,3,3
apologetic,2.21344866,2.21344866
apologetically,5,5
apoplectic,5,5
apostolic,5,5
appalachian,3,3
appalled,3,3
appalling,1.896905017,1.896905017
appallingly,1.887759783,1.887759783
apparent,2.509130041,2.509130041
apparently,2.239435573,2.239435573
appealing,2.766301467,2.766301467
appealingly,3.312963962,3.312963962
appetizing,2.826299732,2.826299732
applaudable,3,3
applicable,3.512778966,3.512778966
applied,1,1
appositive,2,2
appreciable,2.464584848,2.464584848
appreciably,2.554986914,2.554986914
appreciative,3.184021924,3.184021924
appreciatively,5,5
apprehensive,3.729195751,3.729195751
apprehensively,5,5
approachable,3.313753118,3.313753118
appropriate,2.951911099,2.951911099
appropriately,3.003287032,3.003287032
approximate,2.408445622,2.408445622
approximately,2.748966027,2.748966027
apropos,3,3
apt,2.813162842,2.813162842
aptly,3.234836466,3.234836466
aquatic,3.188993132,3.188993132
arabian,3.405808466,3.405808466
arabic,2.725739253,2.725739253
aramaic,1.72522749,1.72522749
arbitrarily,2.440049815,2.440049815
arbitrary,2.300442667,2.300442667
arcane,2.593311448,2.593311448
archaeological,2.162825765,2.162825765
archaic,2.449716901,2.449716901
archangelic,5,5
arched,4,4
archeological,1.72522749,1.72522749
archetypal,2.397311477,2.397311477
archetypical,3.541234481,3.541234481
arching,5,5
architectural,3.269224466,3.269224466
architecturally,4,4
archival,3.598794231,3.598794231
archly,5,5
arctic,3.449876208,3.449876208
ardent,2.392303795,2.392303795
ardently,3.642692577,3.642692577
arduous,3.103522427,3.103522427
arduously,1.697155506,1.697155506
areal,5,5
argent,3,3
argentine,4,4
argentinian,3,3
arguable,2.950445642,2.950445642
arguably,2.99098475,2.99098475
argumentative,1.55698504,1.55698504
arid,3.799770825,3.799770825
aristocratic,2.990425407,2.990425407
aristotelian,4.239183994,4.239183994
armed,2.924740339,2.924740339
armenian,4,4
arminian,5,5
armless,3.679274827,3.679274827
armored,2.892190283,2.892190283
aromatic,3.541234481,3.541234481
around the bend,5,5
around,2.750841711,2.750841711
arresting,3.889390775,3.889390775
arrogant,2.376535544,2.376535544
arrogantly,2.038220874,2.038220874
arterial,4,4
artful,3.250682557,3.250682557
artfully,3.191715275,3.191715275
arthritic,3.851923716,3.851923716
arthurian,2.818109449,2.818109449
articulated,2.518492094,2.518492094
articulately,5,5
artificial,2.452362453,2.452362453
artificially,2.076656782,2.076656782
artistic,2.879001702,2.879001702
artistically,2.518367665,2.518367665
artless,2.931763182,2.931763182
artlessly,1.72522749,1.72522749
arty,2.554986914,2.554986914
aryan,2.196953157,2.196953157
as a group,3.166272757,3.166272757
as a matter of fact,2.510765318,2.510765318
as far as possible,5,5
as follows,2.437120582,2.437120582
as if by magic,4,4
as it is,2.883447691,2.883447691
as it were,2.663937361,2.663937361
as luck would have it,2.697322922,2.697322922
as much as possible,3.397103068,3.397103068
as needed,3.061117821,3.061117821
as required,2.515576058,2.515576058
as such,3.008638298,3.008638298
as the crow flies,4,4
as usual,3.389986075,3.389986075
as we say,3,3
as well,3.150496552,3.150496552
as yet,3.163298289,3.163298289
as,3.085295826,3.085295826
asap,5,5
ascetic,3.710955625,3.710955625
asexual,1.262936432,1.262936432
ashamed,2.772080707,2.772080707
ashamedly,2.954580645,2.954580645
ashen,3.420829935,3.420829935
ashore,3.764188991,3.764188991
ashy,3.165242054,3.165242054
asian,2.034238457,2.034238457
aside,2.737113535,2.737113535
asinine,1.565739061,1.565739061
askew,3.541234481,3.483565889
asleep,2.425350206,2.311357487
asocial,3,3
aspiring,2.707815194,2.707815194
assailable,4.653531998,4.653531998
assaultive,1,1
assertive,2.539025067,2.539025067
assessable,4,4
assiduously,3.851923716,3.851923716
assigned,3.168106363,3.168106363
assistant,2.615909991,2.615909991
associate,3.150837505,3.150837505
associative,1,1
assorted,2.779818374,2.779818374
assumed,2.324888531,2.324888531
assumptive,2,2
assuredly,3.445554088,3.445554088
asteroid,3.591272601,3.591272601
asthmatic,3,3
