Word,Rating,Category,Count,Total,Corpus
a couple of/a,4,0.25,576,10187257,Goodreads
a couple of/a,5,0.5,588,16202230,Goodreads
a few/a,1,-0.5,640,3419923,Goodreads
a few/a,2,-0.25,904,3912625,Goodreads
a few/a,3,0,1743,6011388,Goodreads
a few/a,4,0.25,2541,10187257,Goodreads
a few/a,5,0.5,2532,16202230,Goodreads
a good deal/r,1,-0.5,3,3419923,Goodreads
a good deal/r,2,-0.25,11,3912625,Goodreads
a good deal/r,3,0,21,6011388,Goodreads
a good deal/r,4,0.25,25,10187257,Goodreads
a good deal/r,5,0.5,14,16202230,Goodreads
a great deal/r,1,-0.5,19,3419923,Goodreads
a great deal/r,2,-0.25,37,3912625,Goodreads
a great deal/r,3,0,104,6011388,Goodreads
a great deal/r,4,0.25,141,10187257,Goodreads
a great deal/r,5,0.5,152,16202230,Goodreads
a hundred times/r,1,-0.5,7,3419923,Goodreads
a hundred times/r,2,-0.25,5,3912625,Goodreads
a hundred times/r,3,0,6,6011388,Goodreads
a hundred times/r,4,0.25,17,10187257,Goodreads
a hundred times/r,5,0.5,24,16202230,Goodreads
a la carte/a,1,-0.5,0,3419923,Goodreads
a la carte/a,2,-0.25,1,3912625,Goodreads
a la carte/a,3,0,0,6011388,Goodreads
a la carte/a,4,0.25,0,10187257,Goodreads
a la carte/a,5,0.5,0,16202230,Goodreads
a la carte/r,1,-0.5,0,3419923,Goodreads
a la carte/r,2,-0.25,1,3912625,Goodreads
a la carte/r,3,0,0,6011388,Goodreads
a la carte/r,4,0.25,0,10187257,Goodreads
a la carte/r,5,0.5,0,16202230,Goodreads
a little/r,1,-0.5,747,3419923,Goodreads
a little/r,2,-0.25,2328,3912625,Goodreads
a little/r,3,0,6586,6011388,Goodreads
a little/r,4,0.25,7280,10187257,Goodreads
a little/r,5,0.5,4860,16202230,Goodreads
a lot/r,1,-0.5,984,3419923,Goodreads
a lot/r,2,-0.25,1931,3912625,Goodreads
a lot/r,3,0,4085,6011388,Goodreads
a lot/r,4,0.25,5332,10187257,Goodreads
a lot/r,5,0.5,4644,16202230,Goodreads
a million times/r,1,-0.5,13,3419923,Goodreads
a million times/r,2,-0.25,17,3912625,Goodreads
a million times/r,3,0,26,6011388,Goodreads
a million times/r,4,0.25,31,10187257,Goodreads
a million times/r,5,0.5,101,16202230,Goodreads
a priori/a,1,-0.5,1,3419923,Goodreads
a priori/a,2,-0.25,2,3912625,Goodreads
a priori/a,3,0,4,6011388,Goodreads
a priori/a,4,0.25,5,10187257,Goodreads
a priori/a,5,0.5,9,16202230,Goodreads
a priori/r,1,-0.5,1,3419923,Goodreads
a priori/r,2,-0.25,2,3912625,Goodreads
a priori/r,3,0,4,6011388,Goodreads
a priori/r,4,0.25,5,10187257,Goodreads
a priori/r,5,0.5,9,16202230,Goodreads
a trifle/r,1,-0.5,0,3419923,Goodreads
a trifle/r,2,-0.25,4,3912625,Goodreads
a trifle/r,3,0,2,6011388,Goodreads
a trifle/r,4,0.25,4,10187257,Goodreads
a trifle/r,5,0.5,0,16202230,Goodreads
a-ok/a,1,-0.5,0,3419923,Goodreads
a-ok/a,2,-0.25,1,3912625,Goodreads
a-ok/a,3,0,2,6011388,Goodreads
a-ok/a,4,0.25,0,10187257,Goodreads
a-ok/a,5,0.5,2,16202230,Goodreads
a-okay/a,1,-0.5,1,3419923,Goodreads
a-okay/a,2,-0.25,1,3912625,Goodreads
a-okay/a,3,0,2,6011388,Goodreads
a-okay/a,4,0.25,1,10187257,Goodreads
a-okay/a,5,0.5,0,16202230,Goodreads
a.m./r,1,-0.5,1,3419923,Goodreads
a.m./r,2,-0.25,1,3912625,Goodreads
a.m./r,3,0,3,6011388,Goodreads
a.m./r,4,0.25,6,10187257,Goodreads
a.m./r,5,0.5,16,16202230,Goodreads
aback/r,1,-0.5,2,3419923,Goodreads
aback/r,2,-0.25,1,3912625,Goodreads
aback/r,3,0,10,6011388,Goodreads
aback/r,4,0.25,11,10187257,Goodreads
aback/r,5,0.5,20,16202230,Goodreads
abandoned/a,1,-0.5,0,3419923,Goodreads
abandoned/a,2,-0.25,0,3912625,Goodreads
abandoned/a,3,0,0,6011388,Goodreads
abandoned/a,4,0.25,1,10187257,Goodreads
abandoned/a,5,0.5,0,16202230,Goodreads
abbreviated/a,1,-0.5,1,3419923,Goodreads
abbreviated/a,2,-0.25,2,3912625,Goodreads
abbreviated/a,3,0,4,6011388,Goodreads
abbreviated/a,4,0.25,3,10187257,Goodreads
abbreviated/a,5,0.5,5,16202230,Goodreads
aberrant/a,1,-0.5,0,3419923,Goodreads
aberrant/a,2,-0.25,0,3912625,Goodreads
aberrant/a,3,0,0,6011388,Goodreads
aberrant/a,4,0.25,0,10187257,Goodreads
aberrant/a,5,0.5,1,16202230,Goodreads
abhorrent/a,1,-0.5,3,3419923,Goodreads
abhorrent/a,2,-0.25,2,3912625,Goodreads
abhorrent/a,3,0,2,6011388,Goodreads
abhorrent/a,4,0.25,3,10187257,Goodreads
abhorrent/a,5,0.5,4,16202230,Goodreads
abject/a,1,-0.5,1,3419923,Goodreads
abject/a,2,-0.25,1,3912625,Goodreads
abject/a,3,0,3,6011388,Goodreads
abject/a,4,0.25,6,10187257,Goodreads
abject/a,5,0.5,5,16202230,Goodreads
abjectly/r,1,-0.5,0,3419923,Goodreads
abjectly/r,2,-0.25,0,3912625,Goodreads
abjectly/r,3,0,0,6011388,Goodreads
abjectly/r,4,0.25,0,10187257,Goodreads
abjectly/r,5,0.5,1,16202230,Goodreads
able-bodied/a,1,-0.5,0,3419923,Goodreads
able-bodied/a,2,-0.25,0,3912625,Goodreads
able-bodied/a,3,0,0,6011388,Goodreads
able-bodied/a,4,0.25,1,10187257,Goodreads
able-bodied/a,5,0.5,0,16202230,Goodreads
able/a,1,-0.5,453,3419923,Goodreads
able/a,2,-0.25,645,3912625,Goodreads
able/a,3,0,1275,6011388,Goodreads
able/a,4,0.25,2049,10187257,Goodreads
able/a,5,0.5,2538,16202230,Goodreads
ably/r,1,-0.5,0,3419923,Goodreads
ably/r,2,-0.25,0,3912625,Goodreads
ably/r,3,0,3,6011388,Goodreads
ably/r,4,0.25,6,10187257,Goodreads
ably/r,5,0.5,2,16202230,Goodreads
abnormal/a,1,-0.5,5,3419923,Goodreads
abnormal/a,2,-0.25,5,3912625,Goodreads
abnormal/a,3,0,12,6011388,Goodreads
abnormal/a,4,0.25,13,10187257,Goodreads
abnormal/a,5,0.5,11,16202230,Goodreads
abnormally/r,1,-0.5,4,3419923,Goodreads
abnormally/r,2,-0.25,3,3912625,Goodreads
abnormally/r,3,0,1,6011388,Goodreads
abnormally/r,4,0.25,2,10187257,Goodreads
abnormally/r,5,0.5,3,16202230,Goodreads
aboard/r,1,-0.5,0,3419923,Goodreads
aboard/r,2,-0.25,1,3912625,Goodreads
aboard/r,3,0,0,6011388,Goodreads
aboard/r,4,0.25,0,10187257,Goodreads
aboard/r,5,0.5,0,16202230,Goodreads
abominable/a,1,-0.5,6,3419923,Goodreads
abominable/a,2,-0.25,2,3912625,Goodreads
abominable/a,3,0,7,6011388,Goodreads
abominable/a,4,0.25,3,10187257,Goodreads
abominable/a,5,0.5,7,16202230,Goodreads
abominably/r,1,-0.5,1,3419923,Goodreads
abominably/r,2,-0.25,0,3912625,Goodreads
abominably/r,3,0,1,6011388,Goodreads
abominably/r,4,0.25,1,10187257,Goodreads
abominably/r,5,0.5,0,16202230,Goodreads
aboriginal/a,1,-0.5,0,3419923,Goodreads
aboriginal/a,2,-0.25,0,3912625,Goodreads
aboriginal/a,3,0,1,6011388,Goodreads
aboriginal/a,4,0.25,0,10187257,Goodreads
aboriginal/a,5,0.5,0,16202230,Goodreads
abortive/a,1,-0.5,0,3419923,Goodreads
abortive/a,2,-0.25,0,3912625,Goodreads
abortive/a,3,0,1,6011388,Goodreads
abortive/a,4,0.25,0,10187257,Goodreads
abortive/a,5,0.5,1,16202230,Goodreads
about/a,1,-0.5,0,3419923,Goodreads
about/a,2,-0.25,0,3912625,Goodreads
about/a,3,0,0,6011388,Goodreads
about/a,4,0.25,0,10187257,Goodreads
about/a,5,0.5,1,16202230,Goodreads
about/r,1,-0.5,828,3419923,Goodreads
about/r,2,-0.25,1120,3912625,Goodreads
about/r,3,0,1724,6011388,Goodreads
about/r,4,0.25,1946,10187257,Goodreads
about/r,5,0.5,2152,16202230,Goodreads
above all/r,1,-0.5,10,3419923,Goodreads
above all/r,2,-0.25,11,3912625,Goodreads
above all/r,3,0,19,6011388,Goodreads
above all/r,4,0.25,59,10187257,Goodreads
above all/r,5,0.5,87,16202230,Goodreads
above-mentioned/a,1,-0.5,0,3419923,Goodreads
above-mentioned/a,2,-0.25,1,3912625,Goodreads
above-mentioned/a,3,0,0,6011388,Goodreads
above-mentioned/a,4,0.25,1,10187257,Goodreads
above-mentioned/a,5,0.5,1,16202230,Goodreads
above/a,1,-0.5,30,3419923,Goodreads
above/a,2,-0.25,31,3912625,Goodreads
above/a,3,0,46,6011388,Goodreads
above/a,4,0.25,51,10187257,Goodreads
above/a,5,0.5,34,16202230,Goodreads
above/r,1,-0.5,6,3419923,Goodreads
above/r,2,-0.25,8,3912625,Goodreads
above/r,3,0,9,6011388,Goodreads
above/r,4,0.25,24,10187257,Goodreads
above/r,5,0.5,25,16202230,Goodreads
abrasive/a,1,-0.5,2,3419923,Goodreads
abrasive/a,2,-0.25,2,3912625,Goodreads
