status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
22707976849_10153586807711850,"Before we kick off our first time at #RedBullXFighters, check out some behind the scenes shots of our #Intel tech being installed!",Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153586804461850/?type=3,2016-06-23 12:10:48,2256,13,27,2232,12,5,5,1,1
22707976849_10153586685506850,#ExperienceAmazing with HAL and the Intel-powered robotics that are using bio-signals to give new strides to the future of innovative robotic medical treatment in Japan. http://intel.ly/28Qazz3,HAL,video,https://www.facebook.com/Intel/videos/10153586685506850/,2016-06-23 11:01:42,9297,63,1471,9041,94,148,8,3,3
22707976849_10153585113511850,"For the first time ever, #Intel  is bringing real time stats to Red Bull X Fighters.",,video,https://www.facebook.com/Intel/videos/10153585113511850/,2016-06-22 17:02:57,3346,51,497,3254,41,45,4,1,1
22707976849_10153585087746850,"From 3D mapped projections to 100 synchronized drones — see #VividSydney in all its glory, in part 3 of our 360 trilogy. #IntelAtVivid",,video,https://www.facebook.com/Intel/videos/10153585087746850/,2016-06-22 16:46:23,5715,408,1519,4832,561,308,10,2,2
22707976849_10153584872406850,Japanese engineers created a set of smart legs that renews hope for a man who never thought he'd walk again. http://iq.intel.com/sci-fi-meets-reality-hal-exoskeleton-gives-patients-hope/,,video,https://www.facebook.com/Intel/videos/10153584872406850/,2016-06-22 14:44:01,28580,376,2391,27445,568,522,22,15,8
22707976849_10153584762106850,"From theaters to living rooms, #computestick unleashes the power of playing and creating together: http://intel.ly/28O6zAu",Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153584761566850/?type=3,2016-06-22 13:44:07,4941,42,150,4867,36,7,27,2,2
22707976849_10153584728311850,"What propelled N0thing to eSports stardom? Dedication, ambition and a rig fast enough to keep up with his need for speed. http://intel.ly/28NOaq2",Timeline Photos,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153584728311850/?type=3,2016-06-22 13:30:13,51,0,3,50,1,0,0,0,0
22707976849_10153584532381850,Watch a behind the scenes look at how we created the 360 degree replays you experienced during the #NBA Playoffs and #NBAFinals,,video,https://www.facebook.com/Intel/videos/10153584532381850/,2016-06-22 11:43:51,3109,153,1033,2975,59,66,8,1,0
22707976849_10153582516111850,3 PC modders. 2 cut fingers. 1 really cold rig. The guys go to extreme lengths during a liquid cooling challenge on an all-new episode of Expert Mode: Rig Wars. Watch now: http://bit.ly/1sIefvY,Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153582513501850/?type=3,2016-06-21 14:36:40,7892,404,1128,7552,209,121,7,2,1
22707976849_10153582200246850,"Drones in the sky, sparks in our hearts - Drone 100 and Sydney Youth Orchestras bow out of a thrilling run at Sydney Opera House. What was your favourite part of the performance? #VividSydney #IntelAtVivid",,video,https://www.facebook.com/Intel/videos/10153582200246850/,2016-06-21 11:38:06,7377,287,2941,6878,270,219,4,1,5
22707976849_10153582157976850,#ExperienceAmazing HAL technology as Intel powers a set of bionic legs to help a man move with new hope. http://intel.ly/28KPKoJ,HAL Exoskeleton,video,https://www.facebook.com/Intel/videos/10153582157976850/,2016-06-21 11:16:18,11903,151,1838,11396,231,248,13,8,7
22707976849_10153580565931850,Take a 360 look at some of the crucial plays from last night's game with Intel 360 technology. #NBAFinals #Intel,,video,https://www.facebook.com/Intel/videos/10153580565931850/,2016-06-20 15:59:33,1745,42,293,1673,31,28,11,2,0
22707976849_10153580086666850,Wondering how we create the amazing 360 degree replays you've been watching in the NBA? Take a look!,,video,https://www.facebook.com/Intel/videos/10153580086666850/,2016-06-20 11:50:13,622,36,89,588,11,21,1,0,1
22707976849_10153573126226850,"Take a walk through Taronga Zoo as part of #VividSydney, and see these endangered animals sparkle the night. #IntelAtVivid",,video,https://www.facebook.com/Intel/videos/10153573126226850/,2016-06-17 12:24:24,9847,676,4057,9182,348,299,6,1,11
22707976849_10153572980491850,"Think zombies, aliens and superheroes can make exercise more entertaining? Try these fun fitness apps: http://intel.ly/1UDQOdS",Timeline Photos,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153572980491850/?type=3,2016-06-17 11:00:13,148,5,6,146,2,0,0,0,0
22707976849_10153571013791850,Break out your thermometers cause it's time for a liquid cooling battle on Expert Mode: Rig Wars! Our modders have just two hours to bring down their PC's CPU temp any way they can in this all-new episode – but will accidentally sliced fingers cut one modder out of the competition completely? Watch now to find out: http://bit.ly/1sIefvY,,video,https://www.facebook.com/Intel/videos/10153571013791850/,2016-06-16 14:12:41,165,12,12,162,3,0,0,0,0
22707976849_10153568622051850,"Relive the amazing @VividSydney in part 2 of our 360 trilogy, wherever you are! Click and drag to see it all. #VividSydney #IntelatVivid",,video,https://www.facebook.com/Intel/videos/10153568622051850/,2016-06-15 12:08:54,7692,634,2988,6813,505,348,17,8,1
22707976849_10153567055806850,"Look back at #XGames Austin with this video, where our engineering team shares some of their favorite moments and experiences of bringing #Intel tech to action sports audiences!",,video,https://www.facebook.com/Intel/videos/10153567055806850/,2016-06-14 18:32:42,3690,51,831,3604,42,35,6,1,2
22707976849_10153566836666850,"To create amazing 360 degree replays during the #NBAFinals, we've covered the arena with 5K cameras, capturing every angle of your favorite plays.",Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153566836436850/?type=3,2016-06-14 16:05:25,562,7,32,549,7,6,0,0,0
22707976849_10153566328886850,Play and stream games at the same time with no slowdown! Mega-tasking is now mega-easy with the 10-core Intel Core i7 Extreme processor. http://intel.ly/1e09EfX,Timeline Photos,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153566328886850/?type=3,2016-06-14 11:00:16,3429,222,327,3223,83,112,11,0,0
22707976849_10153565135606850,Take a closer look at the control room where Intel is creating the 360 degree replays you've been watching during the #NBAFinals,Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153565135426850/?type=3,2016-06-13 18:08:32,1222,22,47,1196,12,12,1,1,0
22707976849_10153564666706850,"Behold the electronic islands of Elantica!  These landforms glow, float & transmit the sound of the harbour Vivid Sydney #IntelatVivid!",Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153564666351850/?type=3,2016-06-13 13:12:02,63395,200,2738,61319,1246,778,43,4,5
22707976849_10153563089381850,"Only one can wear the crown as elite PC modders go head-to-head in ExpertMode: Rig Wars, a brand new competition from the minds behind #ExpertMode: The Series. Watch the first episode now at youtube.com/intel. http://bit.ly/1Z3uXAc",,video,https://www.facebook.com/Intel/videos/10153563089381850/,2016-06-12 17:17:37,1001,89,329,971,17,11,2,0,0
22707976849_10153562678526850,Things are heating up at the #NBAFinals with Intel 360 replay tech! #Intel,,video,https://www.facebook.com/Intel/videos/10153562678526850/,2016-06-12 13:03:09,2625,49,269,2574,27,19,3,1,1
22707976849_10153558947696850,Check out a behind the scenes look at how Intel is powering the amazing 360 degree replays at the #NBAFinals,Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153558947406850/?type=3,2016-06-10 18:13:55,9177,128,325,8997,58,105,13,2,2
22707976849_10153558277806850,Illuminating the night sky for an unforgettable debut Vivid Sydney festivalgoers were treated to the first-ever public performance from Drone 100. as they danced above the harbour against a majestic score from Sydney Youth Orchestras played at the Sydney Opera House! http://intel.ly/1WFIcJL #IntelatVivid #VividSydney #IntelInsideSOH,,video,https://www.facebook.com/Intel/videos/10153558277806850/,2016-06-10 11:12:22,8382,216,2291,7800,319,247,13,1,2
22707976849_10153556461321850,#TBT to the awesome time we had bringing #Intel tech to #XGames Austin!,Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153556459881850/?type=3,2016-06-09 15:56:17,163,9,11,163,0,0,0,0,0
22707976849_10153556026341850,"Part one of our @VividSydney 360 trilogy! This 360° view of #VividSydney encapsulates the luminous breathing Electric Jellyfish, the arched magic of the Cathedral of Lights and the animated canvas of Australian indigenous art during Songlines @SydneyOperaHouse! #IntelatVivid",,video,https://www.facebook.com/Intel/videos/10153556026341850/,2016-06-09 11:41:54,10983,931,5778,9660,743,553,18,9,0
22707976849_10153554516801850,Do water and electronics mix? Find out first-hand as 100 Drones dance above water to music from the Sydney Youth Orchestras next to the Sydney Opera House: http://intel.ly/1UgmI3V. #VividSydney #IntelAtVivid,Drone 100,video,https://www.facebook.com/Intel/videos/10153554516801850/,2016-06-08 18:00:51,151,11,24,150,1,0,0,0,0
22707976849_10153554134906850,"With #Intel tech installed, athletes were able to get real-time feedback from their awesome runs at #XGames Austin!",Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153554133321850/?type=3,2016-06-08 14:11:14,1539,8,34,1529,6,4,0,0,0
22707976849_10153553745486850,Reliving an epic weekend of #Intel tech at #XGames Austin. We were thrilled to bring real-time data to audiences everywhere.,Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153553744006850/?type=3,2016-06-08 10:30:00,6864,20,131,6781,51,28,2,2,0
22707976849_10153552084951850,"The Games may be over, but take a BTS look back at how #Intel tech brought real-time performance data to #XGames Austin.",Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153552082846850/?type=3,2016-06-07 16:44:52,4853,30,67,4805,28,17,2,1,0
22707976849_10153551542201850,Get into the action with Intel 360 replay. #NBAFinals #Intel,,video,https://www.facebook.com/Intel/videos/10153551542201850/,2016-06-07 11:43:25,3689,71,395,3594,48,32,8,0,7
22707976849_10153549826656850,The arcade didn't die — it was just revolutionized. Read how Compute Stick can power on-the-go play: http://intel.ly/1Uag7rC,Timeline Photos,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153549826656850/?type=3,2016-06-06 14:30:11,103,11,7,103,0,0,0,0,0
